Variable,Description,Question Sample,Data Type,Notes
found_name1_job1_orgtype,"Organization type: Founder 1, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder1.Job1 Organization Type?,"Pull down, select one",
found_name1_job2_orgtype,"Organization type: Founder 1, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder1.Job2 Organization Type?,"Pull down, select one",
found_name2_job1_orgtype,"Organization type: Founder 2, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder2.Job1 Organization Type?,"Pull down, select one",
found_name2_job2_orgtype,"Organization type: Founder 2, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder2.Job2 Organization Type?,"Pull down, select one",
found_name3_job1_orgtype,"Organization type: Founder 3, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder3.Job1 Organization Type?,"Pull down, select one",
found_name3_job2_orgtype,"Organization type: Founder 3, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder3.Job2 Organization Type?,"Pull down, select one",
found_name1_job1_role,"Role: Founder 1, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture.  Founder1.Job1 What Role?,"Pull down, select one",
found_name1_job2_role,"Role: Founder 1, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder1.Job2 What Role?,"Pull down, select one",
found_name2_job1_role,"Role: Founder 2, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder2.Job1 What Role?,"Pull down, select one",
found_name2_job2_role,"Role: Founder 2, job 2",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder2.Job2 What Role?,"Pull down, select one",
found_name3_job1_role,"Role: Founder 3, job 1",Please provide the following information about the two most recent paid full-time jobs held by each of the above founders before launching this venture. Founder3.Job1 What Role?,"Pull down, select one",
